"model","n","overlap"
"ADAMTS","51","5"
"Adiponectin","39","8"
"Afamin","37","3"
"Alpha-L-iduronidase","67","0"
"Aminoacylase-1","395","17"
"B2-microglobulin","311","11"
"BCAM","1","0"
"BMP-1","67","5"
"bohlin.1se","96","2"
"bohlin.min","251","10"
"brenner","10","3"
"CCL11","45","4"
"CCL17","364","9"
"CCL18","119","14"
"CCL21","98","5"
"CCL22","36","4"
"CCL25_C-C","59","2"
"CD163","151","13"
"CD209_antigen","163","5"
"CD48_antigen","17","1"
"CD6","41","7"
"CDL5","127","2"
"CHIT-1","111","10"
"CLEC11A_e1","107","3"
"CLEC11A_e2","82","2"
"Coagulation_factor VII","26","0"
"Complement_C4","17","0"
"Complement_C5a","263","13"
"Complement_c9","109","3"
"Contactin-4","45","6"
"CRP","100","10"
"CRTAM","64","1"
"CXCL10","196","24"
"CXCL10_soma","194","8"
"CXCL11","176","21"
"CXCL11_soma","51","3"
"CXCL9","56","56"
"dnamtl","140","12"
"dunedinpoam38","46","9"
"E-selectin","126","8"
"Ectodysplasin-A","10","0"
"EN.RAGE","82","82"
"ENPP7","156","11"
"epitoc","385","0"
"epitoc2","3","0"
"ESM-1","55","5"
"EZR","32","0"
"FAP","74","7"
"FCER2","163","8"
"FCGR3A","102","5"
"FcRL2","38","1"
"FGF.21","103","9"
"G.CSF","79","3"
"Galectin-4","58","6"
"GDF.8","29","1"
"GHR","108","15"
"GPIba","179","2"
"Granulysin","52","2"
"Granzyme_A","103","4"
"GZMA","13","0"
"hannum","71","71"
"HCII","52","9"
"HGF","72","72"
"HGFA","20","0"
"HGFI","156","1"
"horvath","353","12"
"ICAM5","132","4"
"IGFBP-1","120","120"
"IGFBP-4","72","8"
"Insulin_receptor","51","2"
"Interleukin-19","81","3"
"knight","148","0"
"L-selectin","99","8"
"lee.cpc","546","4"
"lee.rpc","558","5"
"lee.rrpc","395","4"
"LFT","51","3"
"LGALS3BP","186","11"
"LY9","124","7"
"Lymphotoxin_abeta","67","6"
"Lysozyme_C","1","0"
"mayne","62","0"
"MIA","69","5"
"miage","4","0"
"MMP-1","262","8"
"MMP-12","257","257"
"MMP-2","1","0"
"MMP-9","96","3"
"MMP.1","34","2"
"MRC2","17","1"
"Myeloperoxidase","35","0"
"N.CDase","50","4"
"NCAM-120","121","9"
"NEP","34","3"
"NMNAT1","44","1"
"NOTCH1","33","5"
"NRTK3","148","14"
"NTRK3","118","7"
"OSM","125","125"
"Osteomodulin","180","12"
"PAPP-A","58","0"
"pedbe","94","2"
"phenoage","513","11"
"PIGR","27","8"
"RARRES2","117","4"
"Resistin","21","3"
"richard-dbp","5","3"
"richard-huang-dbp","7","0"
"richard-huang-sbp","48","11"
"richard-sbp","8","4"
"S100-A9","27","2"
"Semaphorin-3E","51","3"
"SERPIN_A3","258","5"
"SHBG","68","9"
"SIGLEC1","28","3"
"skin","391","54"
"SKR3","68","5"
"SLITRK5","161","12"
"SMPD1","110","2"
"Stanniocalcin-1","61","11"
"Testican-2","62","0"
"TGF.alpha","100","100"
"THBS2","183","14"
"TNFRSF17","103","4"
"TNFRSF1B","83","5"
"TPO","41","3"
"Trypsin-2","25","4"
"Tryptase_beta-2","106","2"
"VCAM1","32","3"
"VEGFA","159","159"
"WFIKKN2","66","9"
"zhang","514","47"
"zhang.blup","319607","2152"
