"chr","start","end","details"
"chr11","75031054",75031055,"Battram lung cancer EWAS"
"chr2","233284934",233284935,"Battram lung cancer EWAS"
"chr19","17000585",17000586,"Battram lung cancer EWAS"
"chr5","373378",373379,"Battram lung cancer EWAS"
"chr1","206224334",206224335,"Battram lung cancer EWAS"
"chr1","92947588",92947589,"Battram lung cancer EWAS"
"chr11","86510915",86510916,"Battram lung cancer EWAS"
"chr12","58119992",58119993,"Battram lung cancer EWAS"
"chr2","233284661",233284662,"Battram lung cancer EWAS"
"chr12","58120011",58120012,"Battram lung cancer EWAS"
"chr11","86510998",86510999,"Battram lung cancer EWAS"
"chr8","128378218",128378219,"Battram lung cancer EWAS"
"chr11","2722407",2722408,"Battram lung cancer EWAS"
"chr2","233250370",233250371,"Battram lung cancer EWAS"
"chr2","233284402",233284403,"Battram lung cancer EWAS"
"chr6","30720080",30720081,"Battram lung cancer EWAS"
"chr11","2020314",2020315,"Zhao lung cancer EWAS (adjusted for smoking DNAm)"
"chr10","110671609",110671610,"Zhao lung cancer EWAS (adjusted for smoking DNAm)"
"chr19","6577668",6577669,"Zhao lung cancer EWAS (adjusted for smoking DNAm)"
"chr1","110165726",110165727,"Zhao lung cancer EWAS (adjusted for smoking DNAm)"
"chr17","42854853",42854854,"Zhao lung cancer EWAS (adjusted for smoking DNAm)"
"chr12","122712925",122712926,"Zhao lung cancer EWAS (adjusted for smoking DNAm)"
"chr20","61268342",61268343,"Zhao lung cancer EWAS (adjusted for smoking DNAm)"
"chr1","227133801",227133802,"Zhao lung cancer EWAS (adjusted for smoking DNAm)"
"chr22","38506771",38506772,"Zhao lung cancer EWAS (adjusted for smoking DNAm)"
"chr1","25239107",25239108,"Zhao lung cancer EWAS (adjusted for smoking DNAm)"
"chr14","105530592",105530593,"Zhao lung cancer EWAS (adjusted for smoking DNAm)"
"chr17","55980107",55980108,"Zhao lung cancer EWAS (adjusted for smoking DNAm)"
"chr22","20239823",20239824,"Zhao lung cancer EWAS (adjusted for smoking DNAm)"
"chr2","96803532",96803533,"Zhao lung cancer EWAS (adjusted for smoking DNAm)"
"chr16","2262293",2262294,"Zhao lung cancer EWAS (adjusted for smoking DNAm)"
"chr19","18531769",18531770,"Zhao lung cancer EWAS (adjusted for smoking DNAm)"
