"","chr","start","end","details"
"192","chr2","233284934",233284935,"Maas DNAm smoking score"
"349","chr19","17000585",17000586,"Maas DNAm smoking score"
"534","chr5","373378",373379,"Maas DNAm smoking score"
"898","chr1","92947588",92947589,"Maas DNAm smoking score"
"1130","chr7","45002919",45002920,"Maas DNAm smoking score"
"1137","chr1","92946825",92946826,"Maas DNAm smoking score"
"1152","chr5","32018601",32018602,"Maas DNAm smoking score"
"1364","chr3","22412385",22412386,"Maas DNAm smoking score"
"1754","chr2","233284661",233284662,"Maas DNAm smoking score"
"1882","chr5","373299",373300,"Maas DNAm smoking score"
"2194","chr2","233284402",233284403,"Maas DNAm smoking score"
"275","chr6","30720080",30720081,"Maas DNAm smoking score"
"6010","chr7","45002486",45002487,"Maas DNAm smoking score"
