chr,pos,id,obs.ct,hudson.fst,coords,z.glm,p.glm,beta.godmc,cpg.godmc,pct.godmc,end,start,cpg,ancestry
10,97773887,.,660,0.0573214,10_97773887,-4.12791,3.66068e-05,0.7181307,cg25156443,0.968479163959537,97773887,97773887,cg25156443,ACB
8,42218528,.,660,0.0577811,8_42218528,-4.09052,4.30416e-05,-0.7138208,cg00491021,0.967908205655244,42218528,42218528,cg00491021,ACB
15,75336500,.,660,0.0533665,15_75336500,-4.2861,1.8184e-05,-0.5534751,cg19013753,0.930583283128379,75336500,75336500,cg19013753,ACB
16,75184278,.,660,0.0540251,16_75184278,-4.36766,1.25584e-05,-0.550032,cg21686987,0.929468930024138,75184278,75184278,cg21686987,ACB
16,55838368,.,660,0.0519209,16_55838368,4.58479,4.5445e-06,-0.5284096,cg03880033,0.921290444520572,55838368,55838368,cg03880033,ACB
16,4365695,.,660,0.0645662,16_4365695,-4.9138,8.9329e-07,-0.5197918,cg02647878,0.917687500738308,4365695,4365695,cg02647878,ACB
8,1988840,.,660,0.0518676,8_1988840,-4.52989,5.90152e-06,-0.507846,cg00688236,0.912214176304049,1988840,1988840,cg00688236,ACB
6,166854304,.,660,0.0596222,6_166854304,-4.95769,7.13349e-07,-0.4893624,cg20515377,0.903385979626633,166854304,166854304,cg20515377,ACB
18,11906578,.,660,0.0612131,18_11906578,5.64714,1.63138e-08,0.4841345,cg06563713,0.900779259644273,11906578,11906578,cg06563713,ACB
11,2298125,.,660,0.0518509,11_2298125,-3.94669,7.92396e-05,0.4765602,cg06080571,0.896648671635973,2298125,2298125,cg06080571,ACB
7,43266091,.,660,0.0542451,7_43266091,-4.96959,6.70962e-07,0.4636894,cg14047370,0.889013580932355,43266091,43266091,cg14047370,ACB
2,166313764,.,660,0.053454,2_166313764,5.28957,1.22607e-07,-0.4631666,cg18745035,0.88870644474108,166313764,166313764,cg18745035,ACB
22,37653159,.,660,0.055671,22_37653159,5.18595,2.1492e-07,0.4337975,cg10921709,0.869624624447253,37653159,37653159,cg10921709,ACB
22,41919786,.,660,0.0602075,22_41919786,-5.1579,2.49741e-07,0.4320349,cg05082376,0.868242511586516,41919786,41919786,cg05082376,ACB
8,67897577,.,660,0.0745861,8_67897577,6.26333,3.76844e-10,0.4303282,cg13652336,0.866884024586646,67897577,67897577,cg13652336,ACB
10,47307413,.,660,0.0629124,10_47307413,-4.1849,2.85289e-05,-0.4288771,cg24636477,0.865773609125883,47307413,47307413,cg24636477,ACB
9,131605807,.,660,0.0605872,9_131605807,5.86979,4.36351e-09,0.4139596,cg07709065,0.853818923527026,131605807,131605807,cg07709065,ACB
3,141623302,.,660,0.0595687,3_141623302,4.51791,6.24532e-06,0.4125913,cg18765799,0.852539189396714,141623302,141623302,cg18765799,ACB
14,93332875,.,660,0.0547464,14_93332875,-3.18527,0.00144619,-0.4105061,cg01868016,0.850743623970798,93332875,93332875,cg01868016,ACB
2,240032102,.,660,0.0579254,2_240032102,5.32838,9.90926e-08,0.3978947,cg08973717,0.839044885198004,240032102,240032102,cg08973717,ACB
13,99115681,.,660,0.064103,13_99115681,-2.73483,0.00624127,0.3978019,cg15426006,0.838930693537146,99115681,99115681,cg15426006,ACB
14,105096723,.,660,0.0590482,14_105096723,5.12802,2.92805e-07,-0.3954449,cg15540371,0.836890994215602,105096723,105096723,cg15540371,ACB
22,45304936,.,660,0.0553315,22_45304936,4.83898,1.30509e-06,-0.392765,cg18670767,0.834339401241933,45304936,45304936,cg18670767,ACB
9,123350533,.,660,0.0534009,9_123350533,5.23266,1.67086e-07,-0.3893106,cg13404038,0.830988466642253,123350533,123350533,cg13404038,ACB
13,44131305,.,660,0.0612029,13_44131305,5.15416,2.54768e-07,-0.3868923,cg26620900,0.828720383998992,44131305,44131305,cg26620900,ACB
12,80017084,.,660,0.0596049,12_80017084,4.94133,7.75912e-07,0.3770685,cg23586629,0.818486448599971,80017084,80017084,cg23586629,ACB
15,68005074,.,660,0.0520205,15_68005074,4.7174,2.38877e-06,-0.3759331,cg16038331,0.817289404982694,68005074,68005074,cg16038331,ACB
12,69466426,.,660,0.0603332,12_69466426,5.15503,2.53588e-07,-0.3664364,cg19563525,0.807122409522797,69466426,69466426,cg19563525,ACB
6,80410694,.,660,0.058781,6_80410694,5.03988,4.65824e-07,0.3621819,cg09116618,0.80251930429715,80410694,80410694,cg09116618,ACB
17,28421309,.,660,0.0902063,17_28421309,-4.13538,3.5437e-05,-0.3593777,cg13568106,0.799530632897436,28421309,28421309,cg13568106,ACB
4,169999726,.,660,0.0643876,4_169999726,6.09557,1.09046e-09,-0.359325,cg11274119,0.799444004740923,169999726,169999726,cg11274119,ACB
2,237941817,.,660,0.0525881,2_237941817,5.05699,4.25929e-07,0.3581055,cg03558837,0.797939824932371,237941817,237941817,cg03558837,ACB
10,33314334,.,660,0.059167,10_33314334,4.65316,3.26886e-06,0.3576515,cg10312802,0.797471245358503,33314334,33314334,cg10312802,ACB
12,28995004,.,660,0.0524097,12_28995004,4.55553,5.22531e-06,0.3526422,cg09582351,0.791619907150367,28995004,28995004,cg09582351,ACB
11,2285843,.,660,0.0543494,11_2285843,-4.32788,1.50553e-05,0.3484495,cg11525052,0.786619099933454,2285843,2285843,cg11525052,ACB
19,46599403,.,660,0.0593354,19_46599403,-4.34617,1.38536e-05,-0.3405068,cg27550511,0.777034875708284,46599403,46599403,cg27550511,ACB
3,12461456,.,660,0.0547901,3_12461456,-4.6356,3.55902e-06,-0.3382436,cg02253499,0.774424218082446,12461456,12461456,cg02253499,ACB
17,19388755,.,660,0.0526784,17_19388755,4.9807,6.33563e-07,0.3350198,cg20538986,0.77069526970889,19388755,19388755,cg20538986,ACB
7,157769147,.,660,0.0540212,7_157769147,-4.50932,6.50363e-06,0.3328333,cg21936906,0.76810823794392,157769147,157769147,cg21936906,ACB
12,56671399,.,660,0.055158,12_56671399,4.71232,2.44907e-06,0.3304061,cg22870344,0.765363700439835,56671399,56671399,cg22870344,ACB
10,98531826,.,660,0.069767,10_98531826,5.55386,2.79424e-08,-0.3299935,cg19913430,0.764902996152922,98531826,98531826,cg19913430,ACB
9,111630966,.,660,0.0626016,9_111630966,-4.78615,1.7001e-06,-0.3226935,cg25449976,0.756464626179817,111630966,111630966,cg25449976,ACB
1,109518426,.,660,0.0612294,1_109518426,5.36936,7.90148e-08,-0.3202606,cg22247664,0.753869719127891,109518426,109518426,cg22247664,ACB
14,100525030,.,660,0.062315,14_100525030,5.98292,2.19166e-09,0.3062168,cg02480144,0.738725542311948,100525030,100525030,cg02480144,ACB
8,80983633,.,660,0.0573418,8_80983633,5.48538,4.12583e-08,0.3037949,cg20376249,0.735819561425269,80983633,80983633,cg20376249,ACB
6,161640110,.,660,0.0704942,6_161640110,5.21658,1.82259e-07,-0.3023986,cg19215386,0.734252379321072,161640110,161640110,cg19215386,ACB
1,7501170,.,660,0.162626,1_7501170,-5.17474,2.28224e-07,0.3017719,cg24501872,0.733555416425486,7501170,7501170,cg24501872,ACB
10,5666348,.,660,0.0531068,10_5666348,4.26024,2.04203e-05,0.2922244,cg26603656,0.722112624478755,5666348,5666348,cg26603656,ACB
17,19441996,.,660,0.0518563,17_19441996,4.78813,1.68339e-06,-0.287319,cg15971010,0.715965963009777,19441996,19441996,cg15971010,ACB
2,156897462,.,660,0.0581379,2_156897462,-4.6239,3.76584e-06,0.2846954,cg00558219,0.712524462610106,156897462,156897462,cg00558219,ACB
10,22431787,.,2503,0.627828,10_22431787,26.1695,5.91856e-151,-1.3007104,cg02947450,0.997531097539367,22431787,22431787,cg02947450,AFR
18,69916195,.,2503,0.762525,18_69916195,23.1282,2.40969e-118,-1.2944063,cg13164537,0.997452344669809,69916195,69916195,cg13164537,AFR
13,48312146,.,2503,0.632693,13_48312146,25.1197,3.03035e-139,-1.2754914,cg25165199,0.997184584913313,48312146,48312146,cg25165199,AFR
3,66489204,.,2503,0.70628,3_66489204,22.7714,8.81638e-115,-1.2474265,cg26131019,0.99687351107856,66489204,66489204,cg26131019,AFR
2,231333615,.,2503,0.691448,2_231333615,25.4263,1.29177e-142,-1.1965948,cg18146074,0.996113545887328,231333615,231333615,cg18146074,AFR
18,69936744,.,2503,0.735106,18_69936744,23.1,4.6338e-118,-1.0797687,cg26848442,0.993605266991916,69936744,69936744,cg26848442,AFR
14,105542308,.,2503,0.645211,14_105542308,24.8439,3.00978e-136,-1.0149568,cg11837275,0.991372623139956,105542308,105542308,cg11837275,AFR
12,128329794,.,2503,0.666595,12_128329794,24.851,2.52272e-136,0.9334299,cg00807197,0.987891746305506,128329794,128329794,cg00807197,AFR
3,186237722,.,2503,0.649595,3_186237722,25.7704,1.90196e-146,0.8801701,cg15367247,0.984584125784083,186237722,186237722,cg15367247,AFR
