"chr","start","end","details"
"chr1","145927588","145927588","MMP12 EpiScore"
"chr7","100177799","100177799","MMP12 EpiScore"
"chr1","231027927","231027927","IGFBP1 EpiScore"
"chr6","116405235","116405235","OSM EpiScore"
"chr6","116405235","116405235","VEGFA EpiScore"
"chr6","116405235","116405235","TGF-Alpha EpiScore"
"chr6","16323054","16323054","MMP12 EpiScore"
"chr10","125056277","125056277","VEGFA EpiScore"
"chr4","110609744","110609744","MMP12 EpiScore"
"chr3","156291891","156291891","OSM EpiScore"
"chr6","20468141","20468141","MMP12 EpiScore"
"chr7","22500203","22500203","MMP12 EpiScore"
"chr10","71732165","71732165","MMP12 EpiScore"
"chr16","69424652","69424652","EN-RAGE EpiScore"
"chr16","69424652","69424652","VEGFA EpiScore"
"chr17","2624986","2624986","IGFBP1 EpiScore"
"chr20","45468923","45468923","IGFBP1 EpiScore"
"chr8","13012106","13012106","EN-RAGE EpiScore"
"chr11","68840154","68840154","IGFBP1 EpiScore"
"chr22","42145493","42145493","OSM EpiScore"
"chr17","76840601","76840601","CXCL9 EpiScore"
"chr6","89118196","89118196","MMP12 EpiScore"
"chr2","105821664","105821664","EN-RAGE EpiScore"
"chr12","11500552","11500552","MMP12 EpiScore"
"chr12","95003411","95003411","VEGFA EpiScore"
"chr15","30991265","30991265","CXCL9 EpiScore"
"chr19","3852029","3852029","IGFBP1 EpiScore"
"chr14","70254924","70254924","CXCL9 EpiScore"
"chr16","81220405","81220405","OSM EpiScore"
"chr16","81220405","81220405","EN-RAGE EpiScore"
"chr16","81220405","81220405","TGF-Alpha EpiScore"
"chr16","75263526","75263526","MMP12 EpiScore"
"chr3","142964334","142964334","HGF EpiScore"
"chr14","100845407","100845407","HGF EpiScore"
"chr14","100845407","100845407","VEGFA EpiScore"
"chr7","2354177","2354177","MMP12 EpiScore"
"chr19","1423903","1423903","IGFBP1 EpiScore"
"chr12","12723661","12723661","CXCL9 EpiScore"
"chr12","114675407","114675407","HGF EpiScore"
"chr12","114675407","114675407","VEGFA EpiScore"
"chr7","711083","711083","MMP12 EpiScore"
"chr10","26697451","26697451","IGFBP1 EpiScore"
"chr2","6917096","6917096","VEGFA EpiScore"
"chr14","94768788","94768788","OSM EpiScore"
"chr5","181216432","181216432","VEGFA EpiScore"
"chr17","50834904","50834904","CXCL9 EpiScore"
"chr5","113381202","113381202","VEGFA EpiScore"
"chr17","82083098","82083098","MMP12 EpiScore"
"chr2","217434301","217434301","IGFBP1 EpiScore"
"chr11","8269392","8269392","EN-RAGE EpiScore"
"chr11","8269392","8269392","OSM EpiScore"
"chr4","133096767","133096767","HGF EpiScore"
"chr4","133096767","133096767","TGF-Alpha EpiScore"
"chr12","6362085","6362085","VEGFA EpiScore"
"chr12","72290047","72290047","MMP12 EpiScore"
"chr5","6632998","6632998","VEGFA EpiScore"
"chr8","8347286","8347286","OSM EpiScore"
"chr5","9174899","9174899","MMP12 EpiScore"
"chr5","175445368","175445368","MMP12 EpiScore"
"chr17","42098709","42098709","IGFBP1 EpiScore"
"chr11","68416382","68416382","IGFBP1 EpiScore"
"chr7","101823470","101823470","MMP12 EpiScore"
"chr16","29664750","29664750","CXCL9 EpiScore"
"chr9","105243068","105243068","MMP12 EpiScore"
