"","identifier","gene","panel","cohort","cpg","coef","chr","pos","gene_start","gene_end","gene_chr","cpg_status"
"609","2771-35","IGFBP1","SomaScan","KORA","cg12005760",0.010290042,2,10183271,45888360,45893660,"7","TRANS"
"610","2771-35","IGFBP1","SomaScan","KORA","cg05248234",-0.007160314,17,79495519,45888360,45893660,"7","TRANS"
"611","2771-35","IGFBP1","SomaScan","KORA","cg15194935",0.014239802,19,10405955,45888360,45893660,"7","TRANS"
"612","2771-35","IGFBP1","SomaScan","KORA","cg13722700",0.000426947,10,46993502,45888360,45893660,"7","TRANS"
"613","2771-35","IGFBP1","SomaScan","KORA","cg27176796",0.013905836,16,84495427,45888360,45893660,"7","TRANS"
"614","2771-35","IGFBP1","SomaScan","KORA","cg07134316",-0.004230517,12,57488112,45888360,45893660,"7","TRANS"
"615","2771-35","IGFBP1","SomaScan","KORA","cg02995791",-0.006855176,10,3559223,45888360,45893660,"7","TRANS"
"616","2771-35","IGFBP1","SomaScan","KORA","cg26385126",-0.00270469,12,124912021,45888360,45893660,"7","TRANS"
"617","2771-35","IGFBP1","SomaScan","KORA","cg01666550",0.003639502,11,68183850,45888360,45893660,"7","TRANS"
"618","2771-35","IGFBP1","SomaScan","KORA","cg01136750",-0.000453728,10,26986380,45888360,45893660,"7","TRANS"
"619","2771-35","IGFBP1","SomaScan","KORA","cg00994936",-0.000193956,19,1423902,45888360,45893660,"7","TRANS"
"620","2771-35","IGFBP1","SomaScan","KORA","cg15705062",0.008310056,19,5110748,45888360,45893660,"7","TRANS"
"621","2771-35","IGFBP1","SomaScan","KORA","cg05301470",0.000699146,6,28558006,45888360,45893660,"7","TRANS"
"622","2771-35","IGFBP1","SomaScan","KORA","cg21150486",-0.013245533,8,26148993,45888360,45893660,"7","TRANS"
"623","2771-35","IGFBP1","SomaScan","KORA","cg05232694",0.01555579,20,48809539,45888360,45893660,"7","TRANS"
"624","2771-35","IGFBP1","SomaScan","KORA","cg25428929",0.009719925,2,242606353,45888360,45893660,"7","TRANS"
"625","2771-35","IGFBP1","SomaScan","KORA","cg02684904",-0.018272135,17,38137393,45888360,45893660,"7","TRANS"
"626","2771-35","IGFBP1","SomaScan","KORA","cg19564098",0.001563898,10,124895697,45888360,45893660,"7","TRANS"
"627","2771-35","IGFBP1","SomaScan","KORA","cg03725447",0.006519964,1,860008,45888360,45893660,"7","TRANS"
"628","2771-35","IGFBP1","SomaScan","KORA","cg08319294",-0.010301166,19,43202122,45888360,45893660,"7","TRANS"
"629","2771-35","IGFBP1","SomaScan","KORA","cg11019008",-0.001706952,10,131425282,45888360,45893660,"7","TRANS"
"630","2771-35","IGFBP1","SomaScan","KORA","cg13747681",-0.000563758,11,66179783,45888360,45893660,"7","TRANS"
"631","2771-35","IGFBP1","SomaScan","KORA","cg07068382",-0.02138705,6,36947277,45888360,45893660,"7","TRANS"
"632","2771-35","IGFBP1","SomaScan","KORA","cg03972163",-0.01700523,1,224252086,45888360,45893660,"7","TRANS"
"633","2771-35","IGFBP1","SomaScan","KORA","cg05054115",0.001515299,14,24422837,45888360,45893660,"7","TRANS"
"634","2771-35","IGFBP1","SomaScan","KORA","cg06307943",0.010896814,17,79059375,45888360,45893660,"7","TRANS"
"635","2771-35","IGFBP1","SomaScan","KORA","cg00116658",0.004376793,1,231163673,45888360,45893660,"7","TRANS"
"636","2771-35","IGFBP1","SomaScan","KORA","cg24969672",0.010965082,10,71993207,45888360,45893660,"7","TRANS"
"637","2771-35","IGFBP1","SomaScan","KORA","cg14250054",-0.000437787,9,35829428,45888360,45893660,"7","TRANS"
"638","2771-35","IGFBP1","SomaScan","KORA","cg07916003",-0.00082228,12,72079824,45888360,45893660,"7","TRANS"
"639","2771-35","IGFBP1","SomaScan","KORA","cg04603419",0.01472938,17,42061560,45888360,45893660,"7","TRANS"
"640","2771-35","IGFBP1","SomaScan","KORA","cg17085666",-0.007637224,2,39005329,45888360,45893660,"7","TRANS"
"641","2771-35","IGFBP1","SomaScan","KORA","cg06962442",-0.026500528,16,68271698,45888360,45893660,"7","TRANS"
"642","2771-35","IGFBP1","SomaScan","KORA","cg06642617",-0.004142087,2,73461528,45888360,45893660,"7","TRANS"
"643","2771-35","IGFBP1","SomaScan","KORA","cg22745355",0.001189708,7,2623374,45888360,45893660,"7","TRANS"
"644","2771-35","IGFBP1","SomaScan","KORA","cg19266034",-0.010327457,7,108210536,45888360,45893660,"7","TRANS"
"645","2771-35","IGFBP1","SomaScan","KORA","cg20083442",-0.004343319,8,73600575,45888360,45893660,"7","TRANS"
"646","2771-35","IGFBP1","SomaScan","KORA","cg17426166",-0.018216603,1,81772046,45888360,45893660,"7","TRANS"
"647","2771-35","IGFBP1","SomaScan","KORA","cg08167466",-0.015619201,13,48073444,45888360,45893660,"7","TRANS"
"648","2771-35","IGFBP1","SomaScan","KORA","cg00500048",0.00730579,20,44097563,45888360,45893660,"7","TRANS"
"649","2771-35","IGFBP1","SomaScan","KORA","cg26145959",-0.002041421,6,44310257,45888360,45893660,"7","TRANS"
"650","2771-35","IGFBP1","SomaScan","KORA","cg05389183",-0.01024879,5,122372942,45888360,45893660,"7","TRANS"
"651","2771-35","IGFBP1","SomaScan","KORA","cg12977447",0.000377934,12,4224915,45888360,45893660,"7","TRANS"
"652","2771-35","IGFBP1","SomaScan","KORA","cg04285141",0.011071676,16,57872427,45888360,45893660,"7","TRANS"
"653","2771-35","IGFBP1","SomaScan","KORA","cg07502936",0.001071111,19,58571638,45888360,45893660,"7","TRANS"
"654","2771-35","IGFBP1","SomaScan","KORA","cg08735172",0.002264513,11,45722809,45888360,45893660,"7","TRANS"
"655","2771-35","IGFBP1","SomaScan","KORA","cg14878150",-0.023023696,12,101673760,45888360,45893660,"7","TRANS"
"656","2771-35","IGFBP1","SomaScan","KORA","cg14252492",-0.001243529,11,44332224,45888360,45893660,"7","TRANS"
"657","2771-35","IGFBP1","SomaScan","KORA","cg13639901",-0.007554056,7,155556590,45888360,45893660,"7","TRANS"
"658","2771-35","IGFBP1","SomaScan","KORA","cg11903854",0.002398086,6,3292969,45888360,45893660,"7","TRANS"
"659","2771-35","IGFBP1","SomaScan","KORA","cg02727227",-0.003284923,2,9144505,45888360,45893660,"7","TRANS"
"660","2771-35","IGFBP1","SomaScan","KORA","cg22950899",-0.000455992,19,5253997,45888360,45893660,"7","TRANS"
"661","2771-35","IGFBP1","SomaScan","KORA","cg00441709",-0.052220105,17,2528280,45888360,45893660,"7","TRANS"
"662","2771-35","IGFBP1","SomaScan","KORA","cg26403843",-0.002096155,5,158634085,45888360,45893660,"7","TRANS"
"663","2771-35","IGFBP1","SomaScan","KORA","cg13478001",-0.025127146,11,1254063,45888360,45893660,"7","TRANS"
"664","2771-35","IGFBP1","SomaScan","KORA","cg02069674",-0.003282969,16,82660317,45888360,45893660,"7","TRANS"
"665","2771-35","IGFBP1","SomaScan","KORA","cg07536502",0.013559851,5,71852464,45888360,45893660,"7","TRANS"
"666","2771-35","IGFBP1","SomaScan","KORA","cg06797156",0.000907366,8,124173733,45888360,45893660,"7","TRANS"
"667","2771-35","IGFBP1","SomaScan","KORA","cg00860425",-0.022350214,19,3852027,45888360,45893660,"7","TRANS"
"668","2771-35","IGFBP1","SomaScan","KORA","cg04749549",-0.004850178,19,17459798,45888360,45893660,"7","TRANS"
"669","2771-35","IGFBP1","SomaScan","KORA","cg19112236",-0.000160147,7,70311532,45888360,45893660,"7","TRANS"
"670","2771-35","IGFBP1","SomaScan","KORA","cg01597398",0.018635939,17,40250727,45888360,45893660,"7","TRANS"
"671","2771-35","IGFBP1","SomaScan","KORA","cg18351448",0.010329385,10,34408586,45888360,45893660,"7","TRANS"
"672","2771-35","IGFBP1","SomaScan","KORA","cg11643285",0.049374239,3,16411667,45888360,45893660,"7","TRANS"
"673","2771-35","IGFBP1","SomaScan","KORA","cg10794086",-0.004946665,6,30455964,45888360,45893660,"7","TRANS"
"674","2771-35","IGFBP1","SomaScan","KORA","cg00574958",0.033245689,11,68607622,45888360,45893660,"7","TRANS"
"675","2771-35","IGFBP1","SomaScan","KORA","cg21544475",0.005639475,20,48431765,45888360,45893660,"7","TRANS"
"676","2771-35","IGFBP1","SomaScan","KORA","cg21042285",-0.01188443,13,23954979,45888360,45893660,"7","TRANS"
"677","2771-35","IGFBP1","SomaScan","KORA","cg16176675",-0.002072121,5,134786942,45888360,45893660,"7","TRANS"
"678","2771-35","IGFBP1","SomaScan","KORA","cg18778299",-0.006660091,3,133649819,45888360,45893660,"7","TRANS"
"679","2771-35","IGFBP1","SomaScan","KORA","cg03594868",-0.00523338,19,18234829,45888360,45893660,"7","TRANS"
"680","2771-35","IGFBP1","SomaScan","KORA","cg09393448",0.00225043,6,2768616,45888360,45893660,"7","TRANS"
"681","2771-35","IGFBP1","SomaScan","KORA","cg12593793",0.008062232,1,156074135,45888360,45893660,"7","TRANS"
"682","2771-35","IGFBP1","SomaScan","KORA","cg20773033",-0.02139085,22,39635187,45888360,45893660,"7","TRANS"
