"chr","start","end","details"
"chr2",38483029,38483029,"Xu breast cancer EWAS top sites"
"chr1",51234842,51234842,"Xu breast cancer EWAS top sites"
"chr10",17130001,17130001,"Xu breast cancer EWAS top sites"
"chr17",2684842,2684842,"Xu breast cancer EWAS top sites"
"chr5",43189981,43189981,"Xu breast cancer EWAS top sites"
"chr19",49813340,49813340,"Xu breast cancer EWAS top sites"
"chr10",110032785,110032785,"Xu breast cancer EWAS top sites"
"chr16",70537576,70537576,"Xu breast cancer EWAS top sites"
"chr5",128538785,128538785,"Xu breast cancer EWAS top sites"
"chr6",42868102,42868102,"Xu breast cancer EWAS top sites"
"chr17",20284144,20284144,"Xu breast cancer EWAS top sites"
"chr2",205965957,205965957,"Xu breast cancer EWAS top sites"
"chr20",41314126,41314126,"Xu breast cancer EWAS top sites"
"chr2",134192208,134192208,"Xu breast cancer EWAS top sites"
"chr1",62724465,62724465,"Xu breast cancer EWAS top sites"
"chr13",39349701,39349701,"Xu breast cancer EWAS top sites"
"chr14",73454491,73454491,"Xu breast cancer EWAS top sites"
"chr14",35114512,35114512,"Xu breast cancer EWAS top sites"
"chr7",4761030,4761030,"Xu breast cancer EWAS top sites"
"chr7",99842576,99842576,"Xu breast cancer EWAS top sites"
"chr18",79582368,79582368,"Xu breast cancer EWAS top sites"
"chr4",176733599,176733599,"Xu breast cancer EWAS top sites"
"chr16",48372946,48372946,"Xu breast cancer EWAS top sites"
"chr2",171160909,171160909,"Xu breast cancer EWAS top sites"
"chr19",37211187,37211187,"Xu breast cancer EWAS top sites"
"chr12",121403569,121403569,"Xu breast cancer EWAS top sites"
"chr1",151994973,151994973,"Xu breast cancer EWAS top sites"
"chr6",95577441,95577441,"Xu breast cancer EWAS top sites"
"chr12",75334432,75334432,"Xu breast cancer EWAS top sites"
"chr12",120823236,120823236,"Xu breast cancer EWAS top sites"
"chr6",79078517,79078517,"Xu breast cancer EWAS top sites"
"chr3",98087113,98087113,"Xu breast cancer EWAS top sites"
"chr13",19953412,19953412,"Xu breast cancer EWAS top sites"
"chr13",57629664,57629664,"Xu breast cancer EWAS top sites"
"chr19",52266537,52266537,"Xu breast cancer EWAS top sites"
"chr17",58222368,58222368,"Xu breast cancer EWAS top sites"
"chr8",42916349,42916349,"Xu breast cancer EWAS top sites"
"chr17",20780611,20780611,"Xu breast cancer EWAS top sites"
"chr7",98110384,98110384,"Xu breast cancer EWAS top sites"
"chr3",149704479,149704479,"Xu breast cancer EWAS top sites"
"chr5",133205386,133205386,"Xu breast cancer EWAS top sites"
"chr6",28658787,28658787,"Xu breast cancer EWAS top sites"
"chr11",102411331,102411331,"Xu breast cancer EWAS top sites"
"chr1",218346748,218346748,"Xu breast cancer EWAS top sites"
"chr13",87678359,87678359,"Xu breast cancer EWAS top sites"
"chr18",33578576,33578576,"Xu breast cancer EWAS top sites"
"chr2",162070493,162070493,"Xu breast cancer EWAS top sites"
"chr12",123799536,123799536,"Xu breast cancer EWAS top sites"
"chr10",95266673,95266673,"Xu breast cancer EWAS top sites"
"chr15",50178911,50178911,"Xu breast cancer EWAS top sites"
"chr20",1463985,1463985,"Xu breast cancer EWAS top sites"
"chr12",93699985,93699985,"Xu breast cancer EWAS top sites"
"chr6",75893647,75893647,"Xu breast cancer EWAS top sites"
"chr4",163344670,163344670,"Xu breast cancer EWAS top sites"
"chr14",21116431,21116431,"Xu breast cancer EWAS top sites"
"chr9",123761384,123761384,"Xu breast cancer EWAS top sites"
"chr3",96813162,96813162,"Xu breast cancer EWAS top sites"
"chr8",90989418,90989418,"Xu breast cancer EWAS top sites"
"chr10",81250727,81250727,"Xu breast cancer EWAS top sites"
"chr8",94418690,94418690,"Xu breast cancer EWAS top sites"
"chr7",93831,93831,"Xu breast cancer EWAS top sites"
"chr18",8638788,8638788,"Xu breast cancer EWAS top sites"
"chr2",67397159,67397159,"Xu breast cancer EWAS top sites"
