#CHROM,POS,ID,OBS_CT,HUDSON_FST,coords,z.glm,p.glm,beta.godmc,cpg.godmc,pct.godmc
1,818094,.,660,0.032097,1_818094,-3.59476,0.000324687,0.1302143,cg23999112,0.321717285073575
1,896109,.,660,0.0326612,1_896109,-3.4752,0.000510474,0.72773,cg05151709,0.969884902681141
1,896529,.,660,0.0344284,1_896529,-3.57172,0.000354644,0.6863514,cg04364728,0.963501982603491
1,896732,.,660,0.0334108,1_896732,-3.49895,0.000467096,0.2923493,cg13546858,0.722266192574392
1,931513,.,660,0.0244676,1_931513,3.25794,0.00112224,-0.2468136,cg00447632,0.656050779850291
1,946653,.,660,0.0266938,1_946653,3.54694,0.000389736,-0.6617743,cg00328058,0.958883126803933
1,965125,.,660,0.0347309,1_965125,3.99608,6.44003e-05,0.2588298,cg25887236,0.675782311317969
1,975555,.,660,0.0246304,1_975555,-2.82539,0.00472229,0.1612334,cg16619049,0.444300064183589
1,981210,.,660,0.0364677,1_981210,4.66026,3.15808e-06,0.2764555,cg14350158,0.701447871506818
1,986336,.,660,0.0371264,1_986336,4.23934,2.24175e-05,-0.3704561,cg08750554,0.81150894435716
1,1032278,.,660,0.0421288,1_1032278,4.52237,6.11507e-06,-0.1425502,cg24378253,0.373572112033832
1,1052290,.,660,0.0264205,1_1052290,3.28533,0.00101863,0.3953967,cg02635644,0.836847680137345
1,1055000,.,660,0.0293268,1_1055000,-3.29456,0.000985762,0.1259676,cg06819605,0.302229887501526
1,1055604,.,660,0.0256143,1_1055604,3.17537,0.00149646,-0.2321676,cg24678117,0.629168487826775
1,1056704,.,660,0.0285453,1_1056704,3.34334,0.000827776,0.4001067,cg08530610,0.841127898597805
1,1070426,.,660,0.0281323,1_1070426,-3.02259,0.0025062,0.4059944,cg07549208,0.846546096023374
1,1089921,.,660,0.0261092,1_1089921,3.5646,0.000364409,-0.4365746,cg12097325,0.871581633255762
1,1124795,.,660,0.0259077,1_1124795,-3.38704,0.000706521,-0.1995239,cg00300303,0.558464161537886
1,1175206,.,660,0.0296281,1_1175206,3.65773,0.000254457,-0.2976187,cg04972348,0.728739678452034
1,1184277,.,660,0.0550469,1_1184277,5.3401,9.28929e-08,-0.1484863,cg06443533,0.397123157675058
1,1205055,.,660,0.0373899,1_1205055,4.19993,2.66994e-05,-0.0711319,cg13100600,0.0648372375068417
1,1259424,.,660,0.0449486,1_1259424,4.41917,9.90817e-06,0.2811904,cg03278726,0.707933170314893
1,1277269,.,660,0.0260641,1_1277269,-3.23966,0.00119674,-0.1002492,cg01198994,0.181710433573923
1,1309988,.,660,0.0266486,1_1309988,3.41295,0.000642642,-0.1650177,cg08161163,0.4574557310432
1,1431450,.,660,0.0249836,1_1431450,3.168,0.0015349,0.4956615,cg00305774,0.906504593261117
1,1469429,.,660,0.0297474,1_1469429,-3.4812,0.000499167,-0.3169197,cg00391668,0.750282525919538
1,1487887,.,660,0.0301464,1_1487887,-3.45068,0.000559182,0.7025269,cg19517490,0.966191393098886
1,1490320,.,660,0.0345277,1_1490320,-3.76193,0.000168608,0.2323773,cg13487474,0.629503187522395
1,1531448,.,660,0.0306389,1_1531448,-3.47763,0.000505874,-0.3181802,cg13388025,0.751782768084612
1,1531601,.,660,0.0297046,1_1531601,-3.42937,0.000604978,-0.7761589,cg13893866,0.975732303245799
1,1551679,.,660,0.0324637,1_1551679,-3.09966,0.00193746,-0.3933197,cg02136596,0.834906421902748
1,1554781,.,660,0.0267971,1_1554781,3.3906,0.00069741,0.1343328,cg03467014,0.339483932445789
1,1732013,.,660,0.0315223,1_1732013,3.65788,0.000254308,-0.1753482,cg15028578,0.49037836816179
1,1735370,.,660,0.0315223,1_1735370,3.65788,0.000254308,0.6122891,cg15827003,0.947747471048476
1,1742672,.,660,0.0294583,1_1742672,3.54535,0.000392089,0.5361938,cg24525340,0.924381494650711
