"chr","start","end","details"
"chr7","92244771","92244771","Smoking cessation (15 years)"
"chr6","43478204","43478204","Smoking cessation (10 years)"
"chr17","77450467","77450467","Smoking cessation (15 years)"
"chr2","232386320","232386320","Smoking cessation (30 years)"
"chr3","52221705","52221705","Smoking cessation (30 years)"
"chr10","62806008","62806008","Smoking cessation (20 years)"
"chr20","38433978","38433978","Smoking cessation (10 years)"
"chr14","105863442","105863442","Smoking cessation (15 years)"
"chr19","31348265","31348265","Smoking cessation (10 years)"
"chr14","105862948","105862948","Smoking cessation (15 years)"
"chr9","105243068","105243068","Smoking cessation (30 years)"
"chr2","166373146","166373146","Smoking cessation (20 years)"
"chr8","124687656","124687656","Smoking cessation (10 years)"
"chr2","232420224","232420224","Smoking cessation (30 years)"
"chr2","96505506","96505506","Smoking cessation (10 years)"
"chr2","216563402","216563402","Smoking cessation (10 years)"
"chr7","26197101","26197101","Smoking cessation (10 years)"
"chr6","34238623","34238623","Smoking cessation (10 years)"
"chr1","67833705","67833705","Smoking cessation (15 years)"
"chr2","96342292","96342292","Smoking cessation (20 years)"
"chr7","44983730","44983730","Smoking cessation (15 years)"
"chr7","121006824","121006824","Smoking cessation (10 years)"
"chr19","16889774","16889774","Smoking cessation (30 years)"
"chr5","957396","957396","Smoking cessation (20 years)"
"chr11","19723938","19723938","Smoking cessation (10 years)"
"chr6","132816671","132816671","Smoking cessation (10 years)"
"chr7","22855176","22855176","Smoking cessation (15 years)"
"chr22","39318188","39318188","Smoking cessation (10 years)"
"chr19","4338772","4338772","Smoking cessation (10 years)"
"chr5","373263","373263","Smoking cessation (30 years)"
"chr15","39581352","39581352","Smoking cessation (10 years)"
"chr16","2754730","2754730","Smoking cessation (20 years)"
"chr16","17469103","17469103","Smoking cessation (15 years)"
"chr22","19449425","19449425","Smoking cessation (10 years)"
"chr2","232419402","232419402","Smoking cessation (30 years)"
"chr17","7014074","7014074","Smoking cessation (20 years)"
"chr17","75645729","75645729","Smoking cessation (30 years)"
"chr4","6572753","6572753","Smoking cessation (20 years)"
