source,pmid,type,details,chr,start,end
age,23177740,model,cg20822990,1,17338766,17338766
age,23177740,model,cg22512670,1,26855765,26855765
age,23177740,model,cg25410668,1,28241577,28241577
age,23177740,model,cg04400972,1,117665053,117665053
age,23177740,model,cg16054275,1,169556022,169556022
age,23177740,model,cg10501210,1,207997020,207997020
age,23177740,model,cg09809672,1,236557682,236557682
age,23177740,model,ch.2.30415474F,2,30561970,30561970
age,23177740,model,cg22158769,2,39187539,39187539
age,23177740,model,cg02085953,2,97202260,97202260
age,23177740,model,cg06639320,2,106015739,106015739
age,23177740,model,cg22454769,2,106015767,106015767
age,23177740,model,cg24079702,2,106015771,106015771
age,23177740,model,cg23606718,2,131513927,131513927
age,23177740,model,cg22016779,2,230452311,230452311
age,23177740,model,cg04474832,3,52008487,52008487
age,23177740,model,cg03607117,3,53080440,53080440
age,23177740,model,cg07553761,3,160167977,160167977
age,23177740,model,cg00481951,3,187387650,187387650
age,23177740,model,cg25478614,3,187387866,187387866
age,23177740,model,cg25428494,4,84255411,84255411
age,23177740,model,cg02650266,4,147558239,147558239
age,23177740,model,cg08234504,5,139013317,139013317
age,23177740,model,cg23500537,5,140419819,140419819
age,23177740,model,cg20052760,6,10510789,10510789
age,23177740,model,cg16867657,6,11044877,11044877
age,23177740,model,cg22736354,6,18122719,18122719
age,23177740,model,cg06493994,6,25652602,25652602
age,23177740,model,cg06685111,6,30295466,30295466
age,23177740,model,cg00486113,6,31105711,31105711
age,23177740,model,cg13001142,6,147528521,147528521
age,23177740,model,cg20426994,7,130418324,130418324
age,23177740,model,cg14361627,7,130419116,130419116
age,23177740,model,cg08097417,7,130419133,130419133
age,23177740,model,cg07955995,7,130419159,130419159
age,23177740,model,cg22285878,7,130419173,130419173
age,23177740,model,cg03473532,7,131008743,131008743
age,23177740,model,cg08540945,7,152591698,152591698
age,23177740,model,cg07927379,7,156433108,156433108
age,23177740,model,cg16419235,8,57360613,57360613
age,23177740,model,cg07583137,8,82644012,82644012
age,23177740,model,cg22796704,10,49673534,49673534
age,23177740,model,cg19935065,10,98062687,98062687
age,23177740,model,cg23091758,11,9025767,9025767
age,23177740,model,cg23744638,11,10323902,10323902
age,23177740,model,cg04940570,11,12696758,12696758
age,23177740,model,cg11067179,11,66083541,66083541
age,23177740,model,cg22213242,11,66083573,66083573
age,23177740,model,cg06419846,11,66083697,66083697
age,23177740,model,cg02046143,11,133797911,133797911
age,23177740,model,cg00748589,12,11653486,11653486
age,23177740,model,cg19722847,12,30849114,30849114
age,23177740,model,cg18473521,12,54448265,54448265
age,23177740,model,cg01528542,12,81468232,81468232
age,23177740,model,ch.13.39564907R,13,40666907,40666907
age,23177740,model,cg03032497,14,61108227,61108227
age,23177740,model,cg04875128,15,31775895,31775895
age,23177740,model,cg21296230,15,33010536,33010536
age,23177740,model,cg09651136,15,72525012,72525012
age,23177740,model,cg03399905,15,79576060,79576060
age,23177740,model,cg04416734,16,30075192,30075192
age,23177740,model,cg07082267,16,85429035,85429035
age,23177740,model,cg14692377,17,28562685,28562685
age,23177740,model,cg06874016,17,40177415,40177415
age,23177740,model,cg21139312,17,55663225,55663225
age,23177740,model,cg02867102,17,62398693,62398693
age,23177740,model,cg19283806,18,66389420,66389420
age,23177740,model,cg14556683,19,15342982,15342982
age,23177740,model,cg07547549,20,44658225,44658225
age,23177740,model,cg05442902,22,21369010,21369010
age,23177740,model,cg08415592,22,36648973,36648973
alcohol-consumption,27843151,model,cg00252472,6,150739173,150739173
alcohol-consumption,27843151,model,cg06690548,4,139162808,139162808
alcohol-consumption,27843151,model,cg06846495,2,232326668,232326668
alcohol-consumption,27843151,model,cg12825509,3,185648568,185648568
alcohol-consumption,27843151,model,cg18282388,11,129716470,129716470
alcohol-consumption,27843151,model,cg02489552,19,15121531,15121531
alcohol-consumption,27843151,model,cg02499214,12,122230490,122230490
alcohol-consumption,27843151,model,cg04487857,4,139096540,139096540
alcohol-consumption,27843151,model,cg05457221,10,134272437,134272437
alcohol-consumption,27843151,model,cg08677210,17,55550613,55550613
alcohol-consumption,27843151,model,cg08916477,16,30391350,30391350
alcohol-consumption,27843151,model,cg09365259,22,18594196,18594196
alcohol-consumption,27843151,model,cg10121429,16,75466707,75466707
alcohol-consumption,27843151,model,cg10665488,11,796569,796569
alcohol-consumption,27843151,model,cg11613559,10,121577971,121577971
alcohol-consumption,27843151,model,cg12197470,3,159755869,159755869
alcohol-consumption,27843151,model,cg13222915,1,184598594,184598594
alcohol-consumption,27843151,model,cg15821562,14,90083275,90083275
alcohol-consumption,27843151,model,cg17058475,11,68607737,68607737
alcohol-consumption,27843151,model,cg17185710,3,151984822,151984822
alcohol-consumption,27843151,model,cg18125510,14,100841768,100841768
alcohol-consumption,27843151,model,cg21626848,17,39969267,39969267
alcohol-consumption,27843151,model,cg00085438,3,152049980,152049980
alcohol-consumption,27843151,model,cg00232160,9,129468157,129468157
alcohol-consumption,27843151,model,cg00567854,1,203273693,203273693
alcohol-consumption,27843151,model,cg00883689,2,54802904,54802904
alcohol-consumption,27843151,model,cg00986580,14,22951241,22951241
alcohol-consumption,27843151,model,cg01236573,1,26248897,26248897
alcohol-consumption,27843151,model,cg01526748,3,191930926,191930926
alcohol-consumption,27843151,model,cg01687189,12,102225365,102225365
alcohol-consumption,27843151,model,cg02394812,15,44092488,44092488
alcohol-consumption,27843151,model,cg02719954,8,23830907,23830907
