#CHROM,POS,ID,OBS_CT,HUDSON_FST,coords,z.glm,p.glm,beta.godmc,cpg.godmc,pct.godmc
1,992361,.,489,0.0247261,1_992361,-2.61162,0.00901139,-0.3725153,cg16526047,0.813658897696085
1,994949,.,489,0.0270909,1_994949,-2.7253,0.00642423,0.0937522,cg00082285,0.15229229915065
1,996168,.,489,0.0247261,1_996168,-2.61162,0.00901139,0.1578824,cg22699004,0.432550136045582
1,997077,.,489,0.0247261,1_997077,-2.61162,0.00901139,-0.598025,cg10010734,0.944152402553168
1,1074738,.,489,0.0210762,1_1074738,-1.91908,0.0549739,0.5816659,cg23635910,0.939494170318831
1,2300024,.,489,0.0248152,1_2300024,-2.62669,0.0086221,-0.0692169,cg11809162,0.0587220771856875
1,2329564,.,489,0.0254451,1_2329564,-2.64236,0.008233,-0.1947613,cg17506588,0.546796923912915
1,2398563,.,489,0.0268776,1_2398563,3.29197,0.000994886,-0.2075881,cg11070929,0.577738926362129
1,2400599,.,489,0.0250922,1_2400599,3.26913,0.00107878,-0.3446452,cg05124614,0.782082934646931
1,2449408,.,489,0.0375162,1_2449408,,,-0.1780318,cg06866616,0.498462350221886
1,2492683,.,489,0.0285868,1_2492683,-2.09445,0.0362196,0.8536923,cg06231244,0.982548364106017
1,2529169,.,489,0.0200921,1_2529169,-2.02753,0.0426087,0.1781094,cg06186150,0.498710421760993
1,2596901,.,489,0.0368676,1_2596901,-2.58701,0.00968142,0.1503003,cg25221196,0.404065223126568
1,2845298,.,489,0.0261601,1_2845298,-2.98824,0.00280591,-0.3545804,cg03976856,0.793947054445796
1,2846816,.,489,0.0261601,1_2846816,-2.98824,0.00280591,-0.0398399,cg09516210,0.00211845219110171
1,2847503,.,489,0.0275021,1_2847503,-3.04625,0.00231711,0.1088872,cg07700843,0.222256348465697
1,2862201,.,489,0.0224021,1_2862201,-2.89479,0.00379416,0.129243,cg07230639,0.317122055134884
1,2884894,.,489,0.0282906,1_2884894,-2.66171,0.00777441,0.1817884,cg04132000,0.509629507125166
1,3121049,.,489,0.0205154,1_3121049,-2.6347,0.00842114,-0.3973743,cg09271661,0.838544804476313
1,3155918,.,489,0.0252271,1_3155918,3.00967,0.0026153,-0.0914126,cg21401095,0.142015049673372
1,3198668,.,489,0.0396735,1_3198668,3.75075,0.000176306,0.0926649,cg07622451,0.147393870664162
1,3202925,.,489,0.0375378,1_3202925,3.5121,0.000444584,-0.29727,cg22729726,0.72837347760859
1,3205313,.,489,0.0233671,1_3205313,2.79813,0.00513992,0.612724,cg01800445,0.947849849778901
1,3206560,.,489,0.0307488,1_3206560,3.17124,0.00151791,-0.1526183,cg09119863,0.412834355151816
1,3207634,.,489,0.0503584,1_3207634,3.98676,6.69804e-05,0.1717694,cg06099439,0.479242712406333
1,3213452,.,489,0.0666236,1_3213452,-4.39742,1.09547e-05,0.4314729,cg04924128,0.867821183734382
1,3214671,.,489,0.0619346,1_3214671,-4.27038,1.95136e-05,0.1521499,cg22976360,0.411180544891104
1,3216858,.,489,0.0555277,1_3216858,-4.05444,5.02553e-05,0.1287914,cg12408250,0.315031166448128
1,3217767,.,489,0.0328554,1_3217767,-2.9872,0.00281547,-0.2362337,cg08266202,0.637004398347765
1,3220635,.,489,0.0561939,1_3220635,-4.10633,4.01996e-05,0.2114196,cg25150520,0.586185171622191
1,3223178,.,489,0.0604618,1_3223178,-4.20394,2.62305e-05,-0.156113,cg10493186,0.425934895002737
1,3224248,.,489,0.030351,1_3224248,3.45347,0.000553428,-0.6899584,cg07345710,0.964096566768652
1,3227916,.,489,0.0264455,1_3227916,3.22322,0.00126758,-0.1269964,cg11710123,0.306829055083695
1,3229591,.,489,0.0295008,1_3229591,3.37046,0.000750418,0.157608,cg24641193,0.431569662819589
1,3230466,.,489,0.0553553,1_3230466,-4.05492,5.01519e-05,0.146561,cg01777678,0.389492004614918
1,3231057,.,489,0.0255307,1_3231057,3.04027,0.00236369,-0.0890431,cg21475097,0.131824428352608
1,3231261,.,489,0.0357164,1_3231261,3.39319,0.00069083,-0.190543,cg00030466,0.535086372209687
1,3604307,.,489,0.0214426,1_3604307,2.83508,0.00458147,-0.1532644,cg03114471,0.415204816525502
1,3623588,.,489,0.0252264,1_3623588,3.06277,0.00219297,0.225068,cg10020040,0.615209541697676
1,3766936,.,489,0.025507,1_3766936,-2.68993,0.00714678,-0.1679561,cg09275693,0.46703995526837
